Symbol,DATE,CLOSE,Sector
TECHM,2019-08-21,672.8,it
ULTRACEMCO,2019-08-21,3921.4,chemical
UPL,2019-08-21,535.9,chemical
M&M,2019-08-21,520.9,auto
HCLTECH,2019-08-21,535.07,it
NESTLEIND,2019-08-21,12594.1,food
WIPRO,2019-08-21,252.4,it
BAJAJ-AUTO,2019-08-21,2764.8,auto
BRITANNIA,2019-08-21,2384.5,food
JSWSTEEL,2019-08-21,219.0,iron_steel
GRASIM,2019-08-21,698.8,other
GAIL,2019-08-21,122.5,oil_refineries
HEROMOTOCO,2019-08-21,2714.25,auto
HINDALCO,2019-08-21,177.05,iron_steel
INFRATEL,2019-08-21,248.25,telecommunications
CIPLA,2019-08-21,468.05,pharmaceuticals
ADANIPORTS,2019-08-21,350.7,infra
RELIANCE,2019-08-20,1275.95,oil_refineries
SBIN,2019-08-20,283.7,banks
ICICIBANK,2019-08-20,416.9,banks
HDFCBANK,2019-08-20,1110.3,banks
BPCL,2019-08-20,342.25,oil_refineries
YESBANK,2019-08-20,71.2,banks
BAJFINANCE,2019-08-20,7236.15,finance
INDUSINDBK,2019-08-20,1404.85,banks
HDFC,2019-08-20,2090.1,finance
TCS,2019-08-20,2186.75,it
AXISBANK,2019-08-20,672.35,banks
LT,2019-08-20,1342.5,infra
TATAMOTORS,2019-08-20,123.85,auto
KOTAKBANK,2019-08-20,1505.1,banks
BHARTIARTL,2019-08-20,358.05,telecommunications
INFY,2019-08-20,792.75,it
POWERGRID,2019-08-20,206.05,power
MARUTI,2019-08-20,6190.95,auto
ONGC,2019-08-20,125.05,oil_refineries
TATASTEEL,2019-08-20,358.25,iron_steel
ASIANPAINT,2019-08-20,1595.15,chemical
HINDUNILVR,2019-08-20,1843.4,personal_care
SUNPHARMA,2019-08-20,420.9,pharmaceuticals
NTPC,2019-08-20,117.95,power
ZEEL,2019-08-20,350.85,media_entmt
COALINDIA,2019-08-20,195.3,mining
ITC,2019-08-20,246.5,other
VEDL,2019-08-20,142.4,mining
EICHERMOT,2019-08-20,15895.75,auto
IOC,2019-08-20,124.2,oil_refineries
DRREDDY,2019-08-20,2554.6,pharmaceuticals
BAJAJFINSV,2019-08-20,7236.15,finance
TITAN,2019-08-20,1092.35,other
TECHM,2019-08-20,668.9,it
ULTRACEMCO,2019-08-20,4033.05,chemical
UPL,2019-08-20,539.9,chemical
M&M,2019-08-20,527.8,auto
HCLTECH,2019-08-20,542.0,it
NESTLEIND,2019-08-20,11969.8,food
WIPRO,2019-08-20,253.3,it
BAJAJ-AUTO,2019-08-20,2742.95,auto
BRITANNIA,2019-08-20,2393.5,food
JSWSTEEL,2019-08-20,224.85,iron_steel
GRASIM,2019-08-20,729.25,other
GAIL,2019-08-20,127.35,oil_refineries
HEROMOTOCO,2019-08-20,2669.25,auto
HINDALCO,2019-08-20,179.4,iron_steel
INFRATEL,2019-08-20,255.55,telecommunications
CIPLA,2019-08-20,478.7,pharmaceuticals
ADANIPORTS,2019-08-20,354.95,infra
RELIANCE,2019-08-19,1292.6,oil_refineries
SBIN,2019-08-19,286.85,banks
ICICIBANK,2019-08-19,423.4,banks
HDFCBANK,2019-08-19,1103.42,banks
BPCL,2019-08-19,347.0,oil_refineries
YESBANK,2019-08-19,76.65,banks
BAJFINANCE,2019-08-19,7376.65,finance
INDUSINDBK,2019-08-19,1442.5,banks
